PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
778,1,2,female,27.0,1,0,13.8583,C
779,0,1,male,31.0,0,0,50.4958,S
781,1,3,male,4.0,1,1,11.1333,S
782,0,3,male,26.0,0,0,7.8958,S
783,1,1,female,47.0,1,1,52.5542,S
784,0,1,male,33.0,0,0,5.0,S
785,0,3,male,47.0,0,0,9.0,S
786,1,2,female,28.0,1,0,24.0,C
787,1,3,female,15.0,0,0,7.225,C
788,0,3,male,20.0,0,0,9.8458,S
789,0,3,male,19.0,0,0,7.8958,S
791,1,1,female,56.0,0,1,83.1583,C
792,1,2,female,25.0,0,1,26.0,S
793,0,3,male,33.0,0,0,7.8958,S
794,0,3,female,22.0,0,0,10.5167,S
795,0,2,male,28.0,0,0,10.5,S
796,0,3,male,25.0,0,0,7.05,S
797,0,3,female,39.0,0,5,29.125,Q
798,0,2,male,27.0,0,0,13.0,S
799,1,1,female,19.0,0,0,30.0,S
801,1,1,male,26.0,0,0,30.0,C
802,0,3,male,32.0,0,0,7.75,Q
